x,y,tempo
1135.57199194815,115.321531138943,14:37:01:010
1135.57418603018,115.648718263503,14:37:01:024
1134.77873354425,115.884701725079,14:37:01:033
1132.70157159855,117.005101619243,14:37:01:041
1132.2510281828,118.2103170505,14:37:01:052
1133.68315064011,118.044250142218,14:37:01:062
1133.84043338081,118.102629050385,14:37:01:076
1133.57684829784,117.815759276009,14:37:01:082
1131.8648180481,116.521645297986,14:37:01:094
1130.39537506041,117.654087333996,14:37:01:107
1131.06457305787,117.192386895497,14:37:01:116
1130.74930421293,117.412931268161,14:37:01:129
1127.73389435624,117.517349448314,14:37:01:150
1128.40363536182,117.391470679106,14:37:01:153
1127.53945799667,117.755817844613,14:37:01:164
1128.3380109013,118.081622623662,14:37:01:178
1128.20358697904,117.923910516678,14:37:01:183
1128.21598742096,118.146205585521,14:37:01:196
1128.56053710356,116.988183961982,14:37:01:209
1128.01805068803,117.283960824348,14:37:01:216
1124.80834873505,117.522914771677,14:37:01:226
1045.25586698531,126.88598519318,14:37:01:243
830.668272241133,152.189844273293,14:37:01:250
530.637275245702,183.360706624726,14:37:01:260
435.035148609857,193.428712643531,14:37:01:276
407.036461215725,197.446330481859,14:37:01:283
392.360550088843,199.446291261343,14:37:01:299
367.808260357395,202.282295130331,14:37:01:311
318.357034556851,207.608467987722,14:37:01:316
285.307091364012,210.857146285927,14:37:01:332
271.936715576047,212.909559021056,14:37:01:372
253.266004191736,213.059310764356,14:37:01:379
249.366065214171,212.451877724662,14:37:01:385
250.013178540102,213.291356321999,14:37:01:396
248.131058406667,212.041636494351,14:37:01:405
245.593361710004,210.870788789784,14:37:01:431
244.83719340547,210.498990563566,14:37:01:441
244.082111165657,210.373802817507,14:37:01:444
243.54610662726,210.13345912512,14:37:01:445
243.796674952247,209.999699008197,14:37:01:446
245.965659778738,209.168192218781,14:37:01:450
246.325651153004,208.559549459802,14:37:01:460
245.832429385743,208.53757474786,14:37:01:472
244.800335075483,208.595710974924,14:37:01:482
244.947230669265,208.339625045903,14:37:01:493
244.905217326553,208.099618072232,14:37:01:505
243.421055104366,208.035802690566,14:37:01:515
238.703809409811,206.354947188595,14:37:01:526
238.61304485055,201.131098836809,14:37:01:539
237.754383979569,190.062470640477,14:37:01:549
238.425932971395,183.358486270028,14:37:01:559
239.107723548134,172.80046232808,14:37:01:572
240.464574320923,156.398296722041,14:37:01:582
