x,y,tempo
1134.22974410233,87.0258024188806,14:21:22:004
1135.14242256323,86.9546751255389,14:21:22:015
1135.91997779902,86.6169646901507,14:21:22:025
1135.31547122995,87.0952412054938,14:21:22:037
1136.33801440059,86.8139421282179,14:21:22:048
1063.84974736604,81.2147201164106,14:21:22:057
976.828716559384,74.4968764735472,14:21:22:072
969.509063703758,75.5264079611215,14:21:22:081
855.374263391371,75.5508360294,14:21:22:091
722.114913194351,81.413478988316,14:21:22:108
698.31650063499,81.9678183083313,14:21:22:115
672.137448793025,82.4252686012838,14:21:22:125
660.880913021639,81.8380812711493,14:21:22:139
677.635514540449,81.8609267431476,14:21:22:148
582.705394778199,84.8595078020695,14:21:22:159
569.13865650216,88.7020921678707,14:21:22:171
587.619968157337,81.6814308010131,14:21:22:227
479.95551768179,114.193174856464,14:21:22:229
505.990029278469,106.160956336938,14:21:22:230
453.189225965524,115.792755165827,14:21:22:232
439.404269396539,118.382551251478,14:21:22:233
417.225059251191,122.247347859123,14:21:22:238
401.706433953546,124.923661311488,14:21:22:249
387.283744774277,127.370820125427,14:21:22:257
325.195181008213,139.956374749182,14:21:22:271
343.819930435665,137.580212318153,14:21:22:281
274.861469178831,147.261576452226,14:21:22:290
272.545187140355,143.456162457944,14:21:22:305
272.50215783108,144.058660432319,14:21:22:315
272.469191083582,144.342712675832,14:21:22:325
272.518583494776,144.992238425094,14:21:22:338
272.231873043918,145.704596788377,14:21:22:348
271.940086586072,146.163744795875,14:21:22:357
271.926050583665,146.238725041851,14:21:22:371
273.364713667049,146.980484072437,14:21:22:382
272.682896906719,146.721187034284,14:21:22:390
272.919263845368,148.210826527034,14:21:22:404
272.555495623163,148.282837913311,14:21:22:415
248.716526464868,153.921067925271,14:21:22:424
232.717255743992,159.793718397472,14:21:22:438
222.402934426007,163.377488019211,14:21:22:448
209.126783260351,167.005504055306,14:21:22:457
201.602582991608,169.245681928916,14:21:22:470
197.887241079199,170.206742223908,14:21:22:481
193.707179881709,172.469284644137,14:21:22:490
190.967345589073,169.118077322795,14:21:22:503
191.549379482043,170.769506671319,14:21:22:514
187.074975062417,167.059164900559,14:21:22:523
188.474201834929,167.448339804449,14:21:22:539
188.009714424342,166.668662545597,14:21:22:547
186.461628786186,164.358004153786,14:21:22:556
186.893018385279,162.807352657077,14:21:22:568
186.71923116548,160.072598285466,14:21:22:636
156.245462821515,193.147178638942,14:21:22:646
72.7329959868818,283.848472503739,14:21:22:656
120.26657251647,306.733478999492,14:21:22:670
144.767827009936,263.561174869132,14:21:22:681
143.061539059348,252.134997087977,14:21:22:690
152.431109539168,226.173886072185,14:21:22:704
160.394061447167,211.492727604306,14:21:22:714
165.656536200085,204.030272272982,14:21:22:723
169.452758619055,201.803146822255,14:21:22:737
172.645588279953,199.734500129494,14:21:22:748
177.2365787887,196.741259075247,14:21:22:757
177.474095946621,196.626271612014,14:21:22:771
178.536264413534,198.109553125738,14:21:22:781
178.719147920092,198.389125856444,14:21:22:792
179.030806224314,199.108101591518,14:21:22:805
179.224208878632,199.934902324831,14:21:22:815
179.100005490804,200.160358607337,14:21:22:823
179.402417571693,200.484959741287,14:21:22:836
179.715547923135,202.883920103639,14:21:22:847
179.739388597894,203.041174272042,14:21:22:856
179.744605282445,203.488575913132,14:21:22:869
178.560818079948,202.632319841445,14:21:22:880
178.444056621109,202.58481540953,14:21:22:889
178.522871916615,202.348635008005,14:21:22:903
182.786545017275,198.594749877584,14:21:22:914
182.906315630378,198.487174561325,14:21:22:923
183.125271863142,199.107087151131,14:21:22:936
183.558465979662,198.632281572126,14:21:22:947
183.593804163813,198.577158436606,14:21:22:960
183.134004093869,199.550493927514,14:21:22:969
184.422263793992,199.809135038441,14:21:22:980
184.5059314442,199.918566382405,14:21:23:007
185.260835911129,200.900697233673,14:21:23:009
185.621211694646,201.29415636196,14:21:23:014
185.672742336548,201.360978548242,14:21:23:026
185.249499020436,201.191585516011,14:21:23:036
185.562038771301,202.125404393103,14:21:23:047
186.856852247043,203.186972284281,14:21:23:056
188.884008478934,205.00314660564,14:21:23:088
193.685499123822,206.251352082724,14:21:23:093
193.817433150956,206.265638816338,14:21:23:106
193.879011944497,206.433585922462,14:21:23:108
192.611395534407,206.564236330909,14:21:23:113
192.514020383688,206.601958741081,14:21:23:122
190.898745362907,206.758317698122,14:21:23:137
188.524385319139,205.984887330966,14:21:23:147
188.427717945708,205.936107135546,14:21:23:157
190.047435165443,206.122876288651,14:21:23:183
189.800092632907,206.015236247275,14:21:23:193
214.699553021214,200.776906953547,14:21:23:195
285.037951377751,177.61473249293,14:21:23:239
286.752509004066,177.037679434624,14:21:23:241
287.778511677772,176.683535043709,14:21:23:242
289.199131412271,176.770504284623,14:21:23:243
291.151096425417,176.276668233421,14:21:23:247
292.375584678367,175.944939355574,14:21:23:255
299.270606710094,178.975649395228,14:21:23:269
299.627737564089,179.403869252403,14:21:23:279
299.859939243543,179.463896579872,14:21:23:290
297.44164938738,178.223949913753,14:21:23:302
299.125775823676,179.947687207326,14:21:23:313
299.045402553436,179.976170008884,14:21:23:322
297.292243386815,179.341207039064,14:21:23:335
297.928051937692,181.820468458018,14:21:23:347
297.397516456939,182.072287667988,14:21:23:356
295.049510198943,180.985250739876,14:21:23:370
292.546736461286,177.960895773065,14:21:23:380
292.362450152997,177.734673591942,14:21:23:389
292.787952765692,176.831409891136,14:21:23:403
293.294984332165,176.560640921268,14:21:23:414
293.753415748409,176.300604001025,14:21:23:423
295.53433325448,175.947707202371,14:21:23:437
295.482124672492,176.049643851752,14:21:23:447
294.681275055251,176.477400938663,14:21:23:458
291.410447501442,177.956624254132,14:21:23:473
274.67619131218,181.901027438869,14:21:23:481
234.882537819486,190.332806916889,14:21:23:492
197.578371799568,199.622090087769,14:21:23:504
174.80827441968,205.320744844363,14:21:23:513
164.07601854048,207.991501529698,14:21:23:522
154.716301896672,210.648738276184,14:21:23:538
154.008593483629,210.997831786742,14:21:23:547
150.113099113316,211.837816696212,14:21:23:556
149.662919807593,209.890020583979,14:21:23:570
148.919174764946,208.308832887223,14:21:23:580
148.924560301766,208.184016643746,14:21:23:590
148.826494333742,208.789864549262,14:21:23:603
151.37893149072,209.302123608131,14:21:23:614
151.634318721654,209.428328863746,14:21:23:624
152.376833394653,209.085700489473,14:21:23:637
152.353204757098,209.672711220198,14:21:23:647
153.1667098511,209.065637674323,14:21:23:656
155.627369229739,208.2755994737,14:21:23:674
179.465068739977,198.0966912722,14:21:23:680
180.179958703181,197.831028683309,14:21:23:688
183.903952749354,196.003397774407,14:21:23:703
186.448402339735,190.001077348295,14:21:23:712
186.678028364992,189.743528207852,14:21:23:721
