participant,task,total_points,upper region, points in upper region,% upper region,lower region,points in lower region,% lower region,critic region,points in critic region,% critic region,entries in critic region
125,CO2.2,57,[0-412],7,0.12280701754385964,[658-1079],46,0.8070175438596491,[413-657],4,0.07017543859649122,2
125,AV1.1,278,[0-681],32,0.11510791366906475,[715-1079],229,0.8237410071942446,[682-714],15,0.0539568345323741,15
125,LACF1.1,43,[0-797],11,0.2558139534883721,[833-1079],25,0.5813953488372093,[798-832],5,0.11627906976744186,4
125,LACF2.2,265,[0-517],10,0.03773584905660377,[693-1079],230,0.8679245283018868,[518-692],21,0.07924528301886792,15
125,CO1.1,148,[0-648],3,0.02027027027027027,[682-1079],142,0.9594594594594594,[649-681],2,0.013513513513513514,2
125,AV2.2,46,[0-582],3,0.06521739130434782,[682-1079],39,0.8478260869565217,[583-681],4,0.08695652173913043,4
121,CO2.1,79,[0-727],2,0.02531645569620253,[763-1079],34,0.43037974683544306,[728-762],43,0.5443037974683544,6
121,CO1.2,46,[0-318],2,0.043478260869565216,[682-1079],26,0.5652173913043478,[319-681],18,0.391304347826087,6
121,LACF1.2,85,[0-692],18,0.21176470588235294,[798-1079],37,0.43529411764705883,[693-797],30,0.35294117647058826,16
121,LACF2.1,325,[0-692],33,0.10153846153846154,[728-1079],147,0.4523076923076923,[693-727],144,0.4430769230769231,54
121,AV2.1,37,[0-648],1,0.02702702702702703,[682-1079],33,0.8918918918918919,[649-681],3,0.08108108108108109,2
121,AV1.2,82,[0-582],9,0.10975609756097561,[715-1079],39,0.47560975609756095,[583-714],34,0.4146341463414634,16
151,AV1.1,250,[0-681],51,0.204,[715-1079],154,0.616,[682-714],41,0.164,24
151,AV2.2,44,[0-582],1,0.022727272727272728,[682-1079],32,0.7272727272727273,[583-681],10,0.22727272727272727,3
151,CO2.2,168,[0-412],10,0.05952380952380952,[658-1079],104,0.6190476190476191,[413-657],54,0.32142857142857145,13
151,CO1.1,101,[0-648],12,0.1188118811881188,[682-1079],81,0.801980198019802,[649-681],8,0.07920792079207921,7
151,LACF1.1,130,[0-797],50,0.38461538461538464,[833-1079],55,0.4230769230769231,[798-832],23,0.17692307692307693,13
151,LACF2.2,66,[0-517],4,0.06060606060606061,[693-1079],46,0.696969696969697,[518-692],14,0.21212121212121213,9
127,AV1.2,67,[0-582],35,0.5223880597014925,[715-1079],7,0.1044776119402985,[583-714],24,0.3582089552238806,7
127,LACF2.1,103,[0-692],71,0.6893203883495146,[728-1079],26,0.2524271844660194,[693-727],5,0.04854368932038835,4
127,AV2.1,37,[0-648],5,0.13513513513513514,[682-1079],25,0.6756756756756757,[649-681],7,0.1891891891891892,3
127,CO1.2,66,[0-318],4,0.06060606060606061,[682-1079],10,0.15151515151515152,[319-681],51,0.7727272727272727,6
127,LACF1.2,43,[0-692],32,0.7441860465116279,[798-1079],4,0.09302325581395349,[693-797],7,0.16279069767441862,4
127,CO2.1,42,[0-727],18,0.42857142857142855,[763-1079],20,0.47619047619047616,[728-762],4,0.09523809523809523,3
165,LACF1.1,29,[0-797],24,0.8275862068965517,[833-1079],5,0.1724137931034483,[798-832],0,0.0,0
165,CO2.2,26,[0-412],3,0.11538461538461539,[658-1079],17,0.6538461538461539,[413-657],6,0.23076923076923078,1
165,AV1.1,175,[0-681],123,0.7028571428571428,[715-1079],29,0.1657142857142857,[682-714],23,0.13142857142857142,16
165,AV2.2,27,[0-582],4,0.14814814814814814,[682-1079],15,0.5555555555555556,[583-681],8,0.2962962962962963,4
165,CO1.1,59,[0-648],32,0.5423728813559322,[682-1079],25,0.423728813559322,[649-681],2,0.03389830508474576,2
165,LACF2.2,77,[0-517],5,0.06493506493506493,[693-1079],25,0.3246753246753247,[518-692],47,0.6103896103896104,11
123,AV2.2,9,[0-582],2,0.2222222222222222,[682-1079],6,0.6666666666666666,[583-681],1,0.1111111111111111,0
123,AV1.1,59,[0-681],22,0.3728813559322034,[715-1079],23,0.3898305084745763,[682-714],14,0.23728813559322035,10
123,LACF1.1,107,[0-797],44,0.411214953271028,[833-1079],45,0.4205607476635514,[798-832],17,0.1588785046728972,14
123,CO1.1,67,[0-648],6,0.08955223880597014,[682-1079],47,0.7014925373134329,[649-681],13,0.19402985074626866,7
123,CO2.2,45,[0-412],8,0.17777777777777778,[658-1079],25,0.5555555555555556,[413-657],12,0.26666666666666666,6
123,LACF2.2,32,[0-517],5,0.15625,[693-1079],21,0.65625,[518-692],6,0.1875,4
157,AV2.2,40,[0-582],6,0.15,[682-1079],22,0.55,[583-681],12,0.3,4
157,CO2.2,43,[0-412],9,0.20930232558139536,[658-1079],17,0.3953488372093023,[413-657],17,0.3953488372093023,6
157,AV1.1,56,[0-681],23,0.4107142857142857,[715-1079],13,0.23214285714285715,[682-714],20,0.35714285714285715,3
157,LACF2.2,53,[0-517],4,0.07547169811320754,[693-1079],34,0.6415094339622641,[518-692],15,0.2830188679245283,6
