x,y,tempo
1108.76074686681,148.626665224108,10:46:22:007
1109.07888568117,147.531158127033,10:46:22:011
1108.3990450572,146.62222797275,10:46:22:015
1105.93324242951,133.387414415663,10:46:22:026
1105.58879465717,132.440612976023,10:46:22:044
1105.34120154972,131.887565945483,10:46:22:051
1108.81437408727,132.166748998003,10:46:22:059
1110.05306457356,132.355538955813,10:46:22:075
1112.77941913515,131.888139033239,10:46:22:083
1115.11228853158,131.536471452564,10:46:22:093
1115.663876156,131.485164959119,10:46:22:107
1114.72460975685,131.041524658047,10:46:22:115
1115.25082298578,131.662933101522,10:46:22:127
1112.35906001468,130.716597119722,10:46:22:142
1111.5601557543,130.989538892962,10:46:22:149
1108.89022094462,133.988133998421,10:46:22:160
1108.23218105116,135.473751051214,10:46:22:176
1107.42262465614,136.679722362825,10:46:22:182
1112.1679374216,138.612835901361,10:46:22:194
1111.85058712755,138.807335757215,10:46:22:206
1109.47267431843,137.810670355796,10:46:22:215
1108.79330745723,137.460426009406,10:46:22:225
1109.24742156425,137.433094194647,10:46:22:236
1108.23739606981,136.289419836621,10:46:22:252
1109.38794499086,134.86970374811,10:46:22:258
1109.59355334406,134.123962971939,10:46:22:271
1110.19545442145,133.376267651253,10:46:22:325
1145.93891617416,166.084239069271,10:46:22:332
1160.98342966686,180.238743715749,10:46:22:335
1167.29654949864,186.00692455367,10:46:22:337
1147.8407620388,168.88589515121,10:46:22:339
1119.83860407423,155.599726123043,10:46:22:340
1113.43556971853,158.017642093835,10:46:22:347
1065.52268569534,154.00483625531,10:46:22:358
1002.76066480847,148.22067371341,10:46:22:370
980.877013162628,147.76513212179,10:46:22:382
850.567200267187,165.68792983509,10:46:22:392
794.855994683002,173.619903883232,10:46:22:403
617.670615646144,201.81769135147,10:46:22:414
573.531256747105,208.331117874248,10:46:22:425
517.841142539876,216.964924440492,10:46:22:437
254.423629119704,259.07425277928,10:46:22:448
238.16075617453,265.008999972254,10:46:22:470
235.817576969861,266.875485683013,10:46:22:476
226.157780718101,270.490830510147,10:46:22:482
211.7900463911,268.085383908269,10:46:22:492
209.208481401119,268.463519652991,10:46:22:503
208.873112659578,269.061302306227,10:46:22:514
209.763542001223,269.722645542419,10:46:22:525
214.572247982301,273.373190405948,10:46:22:537
216.174333982844,276.31100102856,10:46:22:548
210.786869736128,276.776757131591,10:46:22:559
194.954153173047,278.806679462918,10:46:22:569
189.369384790287,279.133662410953,10:46:22:580
189.671744980756,282.154859367719,10:46:22:591
189.026154998221,283.317484574616,10:46:22:603
191.33812893164,284.686521273536,10:46:22:614
190.971446013099,284.720374017129,10:46:22:624
190.359097620226,284.73370074303,10:46:22:636
191.773968454176,285.870491110424,10:46:22:648
193.562695390865,286.217230114717,10:46:22:658
196.19099455412,287.562658172989,10:46:22:669
195.549279538717,288.002184178972,10:46:22:681
195.234949096737,289.944313772951,10:46:22:691
194.634226560619,290.364072349838,10:46:22:703
194.16081169598,290.314649185025,10:46:22:714
192.671326405847,289.71899169079,10:46:22:724
192.050380322195,289.871123006323,10:46:22:736
194.562131526317,282.523913641933,10:46:22:747
196.389905179135,279.527581565231,10:46:22:757
201.839259596087,269.912555003452,10:46:22:772
217.511297836956,244.362016202793,10:46:22:781
219.139405563772,242.565993997506,10:46:22:790
227.727244410865,230.821068367919,10:46:22:803
236.364739457365,209.544892987477,10:46:22:814
236.471446241578,207.794653380217,10:46:22:824
240.494634553265,196.597747753608,10:46:22:836
239.947756740137,196.584866608119,10:46:22:848
230.205046864939,194.302756098251,10:46:22:858
196.713871696109,189.061845402118,10:46:22:870
151.170840414916,197.961198387485,10:46:22:882
150.217701933387,191.476545252683,10:46:22:891
148.048601184467,190.365603205441,10:46:22:903
140.363660407368,187.17772130712,10:46:22:915
133.610048944791,187.755057178658,10:46:22:924
132.647261652794,187.931898456767,10:46:22:936
130.487472094665,179.702542707632,10:46:22:947
130.26437889345,179.963693992491,10:46:22:957
132.346776857983,184.377372055682,10:46:22:969
135.610227615332,183.155366015134,10:46:22:980
135.423645855095,185.411331398261,10:46:22:990
139.736710655337,185.132352299674,10:46:23:002
139.41316743362,185.490063607614,10:46:23:013
139.929467038948,185.673366498991,10:46:23:023
139.690774027467,184.891357789207,10:46:23:036
139.973583877973,184.953345352417,10:46:23:047
140.548977606907,185.022409085542,10:46:23:057
142.933961485027,186.352801280937,10:46:23:069
143.031738944161,186.704015366724,10:46:23:080
143.477174239068,188.154319472517,10:46:23:090
146.094233023276,194.427433145217,10:46:23:107
147.577079905337,198.413282015051,10:46:23:114
